100000 100000
0 46604 71234
0 28572 70487
1 31067 35052
0 28498 66475
0 51524 71717
0 38067 47824
0 24117 41248
1 59406 69784
0 51167 56192
0 49761 59671
0 64191 68770
0 20142 72752
0 35381 70946
0 25775 52061
1 46872 72584
0 41336 69766
0 32772 43437
0 33966 79928
0 34988 68072
0 51742 77432
1 51056 69117
1 22171 37519
0 67507 72386
1 35957 50420
0 31858 77787
1 43768 70863
0 34132 52796
0 37155 48147
0 56030 76948
0 36762 61133
1 31862 78833
1 31106 44518
0 27432 35926
1 24585 50101
1 25765 65536
0 40119 50231
0 35915 47117
0 59685 76389
0 24328 48158
0 66058 71742
0 23412 38404
1 54921 70341
0 40354 44457
1 21233 40525
0 20456 35396
0 61128 74819
1 64633 75844
0 23859 48457
0 37145 59962
0 28664 58288
0 74066 74540
1 26197 57766
1 60595 78135
0 24732 34009
0 20762 21533
1 54354 55483
1 25375 67321
0 31157 44010
1 28760 29664
1 53337 76198
0 46297 79575
0 26954 27573
1 44948 65573
0 20972 41785
0 55882 58205
0 48815 62773
1 29850 57021
0 58859 59171
0 57216 74765
1 31697 72101
1 34866 61218
0 37738 65506
0 34788 44704
1 23027 26700
0 41404 52202
0 36606 58851
0 52130 76719
0 26269 73348
0 38156 65215
1 56418 73993
0 26238 33013
1 46856 63935
0 37858 53432
0 38854 56414
1 53996 66699
0 25031 70108
0 26351 79102
0 68517 70681
0 27400 46544
1 31178 65325
0 33400 52398
1 52943 63020
0 24287 76893
1 21237 77389
0 54908 55982
1 31905 38062
0 60339 70522
0 50259 71509
0 35198 78618
0 30344 64060
1 65965 70257
0 23271 49406
0 54166 61692
0 52314 69774
0 53087 60633
1 39527 49093
0 33883 65382
0 44910 53255
0 69575 72260
0 21327 73544
1 40185 70042
0 58701 62907
0 43575 76376
0 37921 40389
0 59297 60852
0 39489 79686
0 26367 54561
0 46289 71083
1 51665 52575
1 27024 56462
0 52652 61578
1 33684 69016
0 53847 57295
0 63288 63547
0 73137 79947
1 20897 75342
0 61997 78345
1 51790 57101
1 61050 76034
0 25356 54294
1 46808 53498
0 72384 73177
0 29112 33543
0 21928 40629
0 28459 42875
0 60634 71842
0 31775 36651
1 43366 58173
1 20959 75594
1 29946 33388
0 48067 56870
1 59803 65669
0 23610 52684
0 38996 52028
1 50741 56512
0 31662 33280
1 52006 65573
1 24368 46207
0 34114 48695
1 29268 53132
0 24153 38692
0 31985 63713
0 40255 66570
1 22240 39060
0 23469 66405
1 71999 73311
0 43397 66774
0 37364 57461
1 43016 53472
1 29030 77344
0 69527 71228
1 25994 56153
0 26186 70390
0 23692 26501
1 48025 55959
0 21935 77638
0 24211 40854
1 21973 49567
0 20854 63433
0 43228 62350
1 24775 56278
1 54577 57777
1 30806 34280
1 34480 66763
0 65655 66380
0 33334 44865
0 55439 67632
0 25751 73339
0 35104 67779
1 33598 52613
1 61228 79676
1 35352 50764
0 20423 66963
0 60788 68587
0 70092 72606
1 20945 73795
0 36710 46533
0 20353 39600
0 53960 57633
1 58919 63896
1 52229 70161
0 30138 66024
0 29420 38854
1 36820 55219
1 36395 72918
0 54297 74616
0 23215 55426
1 48654 52234
1 75471 78602
0 20835 60132
0 60115 79786
0 27021 73350
1 38399 46819
0 51290 55064
0 66682 68271
0 49947 62872
0 57575 65893
0 28415 29056
1 45944 60958
1 37949 62771
1 49391 53600
1 29507 53184
1 38732 65328
1 36024 68582
0 21252 39082
0 52233 64800
1 33903 64853
0 48286 55403
0 33535 53211
0 33897 72892
0 39323 67440
1 36637 69167
1 23893 71687
0 20973 70436
0 45258 61326
1 62800 68113
0 31480 58595
0 32192 36833
0 26856 61637
0 55223 78299
0 38297 72027
0 49989 54105
1 46762 65785
1 31766 76741
0 47281 62914
0 22983 59434
0 55058 60434
0 32825 41765
0 45551 48562
0 24637 31732
0 39458 60846
0 36719 75129
0 38093 46958
0 30464 38781
0 34725 66636
0 34444 61483
0 26438 36490
1 25910 31925
0 37277 70429
0 23236 40087
0 23716 57239
0 53085 78646
1 30136 70566
0 21000 78918
0 42902 50647
1 36611 44355
1 52129 62905
0 24618 75755
1 43937 78554
0 44682 55318
1 21405 21703
1 38762 79739
0 35990 63157
0 53086 65887
0 66955 71587
0 41540 68773
0 24022 47888
1 30322 35347
1 53331 69372
1 20862 27427
0 31224 45310
1 36107 50828
0 37326 54727
0 32667 39372
1 37926 69557
1 25105 48364
0 33215 33249
1 56448 68248
0 55644 70128
0 51211 51713
0 32438 74344
1 33315 54801
0 22375 34990
0 25091 43659
0 23973 36704
1 28380 47171
0 73526 79776
0 65575 79587
0 47189 77953
0 51187 75547
0 42770 57561
1 26303 35985
0 36770 70925
0 49190 64584
0 64925 71884
0 35707 44164
0 45405 58897
1 36025 62119
0 22209 51557
1 49810 67281
0 72792 76234
0 75547 77665
1 27593 28301
0 47086 55546
1 68169 79558
0 24833 47575
0 70930 74680
0 22630 42945
1 38474 44733
1 49049 67898
0 49456 59141
0 61663 69231
0 39499 53343
0 30116 46070
0 63589 67228
1 39714 42199
0 31622 44803
0 47015 76272
1 46227 58887
1 47802 60947
0 51959 61900
1 25340 46627
0 54209 78681
0 45544 48777
0 39705 52872
1 52667 59397
0 33633 45750
0 70229 79272
1 75503 77665
0 64776 75893
0 26649 38645
1 62283 71585
1 64364 77226
1 42360 43239
0 70291 76514
1 31330 69462
0 24211 43110
1 21457 25974
1 38571 76790
0 40510 70951
0 43973 51388
0 54887 75444
1 31118 34060
0 52228 78718
1 55476 76293
0 60572 77477
0 50028 59818
1 39369 67735
1 21633 34346
1 24953 53758
0 45398 58257
0 30128 62758
1 38696 52494
1 26813 72213
0 69181 73566
0 36057 74171
1 26518 50735
1 35141 62540
1 69574 72415
0 31758 39486
0 71641 75481
1 47735 50435
0 37497 50490
1 22138 67908
1 36290 43428
0 20432 41021
0 48275 63082
0 55658 71965
1 50754 59543
0 22503 76471
1 39055 57789
0 33166 41473
0 26942 35679
0 53336 71666
1 28449 59673
0 34343 51031
0 51626 59775
1 45685 77820
0 68295 73888
1 24886 66357
0 25184 78192
1 26787 51979
0 44261 53535
1 29349 62824
0 63327 63871
0 44367 63352
1 36120 70113
1 47821 49252
0 26712 40780
1 40545 48290
0 53667 69971
0 51905 78301
0 26081 62948
0 21597 58307
0 32035 68628
0 43766 73374
0 70203 71459
1 41322 41529
0 28014 75284
0 29800 75164
0 49068 68711
1 50705 74725
0 29670 37132
0 72680 79543
0 34635 51829
1 20257 73324
0 53357 64770
0 32963 67407
1 27307 70035
1 40090 45949
0 43058 65839
0 51825 66429
1 76185 76611
1 40249 76416
0 37219 45665
1 43991 54255
1 47252 58750
0 38735 58869
0 45838 79091
0 30066 32315
0 30313 35362
1 45884 74204
0 52544 53765
1 51836 76189
0 51903 62542
0 52053 70485
0 26445 40800
0 33390 35019
0 43625 63797
0 37915 74052
0 21659 54029
1 41986 76781
0 29411 51473
0 29846 54811
1 57951 65501
1 49092 72549
0 26898 63490
0 57543 64239
0 49910 68327
0 20759 27981
0 37663 58780
1 50504 66601
0 49740 66611
0 30415 44003
0 28959 38118
0 30830 51745
0 51998 58433
0 55859 57025
0 48488 73022
0 32102 53504
0 24506 42390
1 34172 34858
1 60543 64171
0 30327 66205
0 37454 46653
0 71820 76283
1 33295 73858
0 20918 32440
0 34257 47438
1 50133 67510
0 26933 67154
0 45735 60226
0 68596 78802
1 68527 76828
0 32278 69391
1 22768 50920
0 21950 35779
0 42929 79053
0 32624 74732
0 37154 51838
0 36338 78197
0 21224 58118
0 52406 62902
0 21528 35360
0 62433 69921
1 31430 73247
1 40853 66083
0 23548 41720
1 51822 64076
0 67017 79909
0 64431 65598
0 31534 42868
0 28063 72842
0 33880 76167
0 77411 79229
0 25095 74927
1 25925 69772
0 42597 54734
1 43537 46609
0 30008 62594
1 26290 33914
1 61182 73351
0 40186 57929
1 62959 68994
0 21709 25416
0 51541 54065
0 38220 43943
0 26159 42467
0 71708 75939
1 43857 67610
1 53069 57609
1 61143 75435
1 38581 69307
0 65748 74091
0 25316 30897
0 43321 73479
0 43826 73320
0 33805 41900
1 31701 33157
0 44345 59099
0 34258 52456
0 48589 59622
0 33695 79814
0 64746 67222
0 30723 40365
0 48178 73178
0 24006 76158
0 20812 67149
0 49548 58122
0 42077 69405
0 41989 57906
1 39249 63218
0 40895 72580
0 31959 71730
0 55312 77901
1 23443 34262
0 53024 71782
0 28050 76261
0 20568 20916
0 25686 27541
1 51415 58403
0 45395 59135
1 36733 79852
1 27863 30949
0 56582 65241
0 40528 59569
0 22012 45959
1 27082 75614
0 21866 69614
1 39852 62102
1 32851 33173
0 65023 79814
1 47938 78013
1 69056 79175
1 45932 54450
0 25872 54543
1 20855 77849
1 31475 67313
0 23233 56135
0 33069 64313
0 20760 26464
0 36059 49649
0 53092 77178
0 31621 66480
0 39504 78003
0 28345 70673
1 32623 58880
1 43278 67663
1 24324 29397
0 40598 57451
0 56753 78997
0 46045 66964
1 33766 43284
0 26775 77418
0 37273 50471
0 35324 68218
1 30878 39009
0 24101 35040
0 22334 27485
0 24128 33032
0 30656 59159
0 25519 61500
0 61349 73527
0 24077 30189
0 37503 45657
0 23506 77257
1 35094 75850
0 38908 49742
0 48530 49655
0 20132 40370
0 42653 57826
1 20317 56500
0 47833 69822
0 60137 76779
1 20615 41475
1 23881 62712
0 44775 52337
1 26507 58189
0 31506 74999
1 36633 62071
0 28702 68180
0 24890 65888
1 26190 61507
0 29701 40057
1 21464 42326
1 24364 35125
1 49888 77695
0 56976 69460
1 48309 77665
0 33278 58565
1 64583 66887
0 26641 79478
0 46775 75870
1 28153 61967
0 36979 57348
0 59935 68035
0 63142 67768
1 41124 41205
0 29301 59463
0 22664 55882
1 28663 62274
0 29962 34576
0 26196 49942
0 20594 64144
0 44074 69988
1 30744 43303
0 27846 43477
0 60535 72909
0 45375 69127
0 72914 78057
0 53528 64943
1 54152 64565
1 23916 35358
1 20262 64895
0 36335 64742
1 43422 78659
1 29733 43916
1 41898 44165
0 30966 61970
1 20280 34500
0 37209 54542
1 50429 54425
1 38030 69502
0 39046 67771
0 35233 48516
0 26879 47395
0 24709 38666
0 35829 47177
0 30143 40255
1 59778 68971
0 44691 69334
0 61551 75095
0 44381 69488
0 27672 45653
0 30546 56234
1 56699 65116
1 47156 51364
0 25973 60725
0 46580 61758
0 32536 63825
1 21590 71625
1 57180 62486
1 25436 64732
1 69581 75364
1 22258 44613
0 23809 46967
1 29221 61729
0 53671 71513
1 20334 76158
1 71025 71494
0 35416 60446
0 48453 73659
1 59043 68003
0 74164 74421
0 38320 55593
0 28401 49025
1 35307 70893
0 21936 65778
1 34851 51246
1 20021 34760
0 27438 39715
0 32378 40207
1 25800 72390
0 71369 78724
0 35036 50758
0 47121 76615
1 28058 43047
1 60504 79442
1 27286 77042
0 24505 39628
1 49937 57670
1 38748 75534
0 71160 75818
0 44027 64279
0 61407 67554
1 50481 53312
0 23856 53729
0 48777 51604
0 39933 63223
1 26059 67428
0 61003 75248
0 26934 47982
1 24550 27946
1 58506 78527
1 25681 42317
0 74263 79849
0 43867 48350
0 33032 79005
1 21333 53673
0 38531 61510
0 60185 68133
1 45383 59644
1 63334 78995
0 63018 66330
1 22411 60159
0 63158 79720
0 32599 67391
1 36596 48816
0 27780 61713
0 68927 76424
1 63412 72144
1 48919 68657
0 22419 33666
1 31194 49755
1 36676 39580
1 23593 30654
0 22692 23584
1 49604 52705
0 26700 54386
0 35550 48351
1 23085 42405
0 60454 64256
1 46261 74565
0 37482 50093
0 50833 77038
1 46836 63508
0 50215 75254
0 49498 76708
0 41530 72958
0 25004 46143
1 43042 61543
0 34406 62959
0 27846 45786
0 21569 71109
0 40716 66536
1 30432 70771
0 49553 57576
0 44535 61622
0 28021 41112
0 24373 65036
0 30709 75631
1 68095 77802
1 73363 73463
1 56357 69081
1 41646 74463
0 54655 76291
0 22655 24502
0 59314 70380
1 34483 63808
1 48360 58258
0 48592 54352
0 51346 65395
1 54804 63996
0 35932 43764
0 21727 56050
0 32568 47277
0 34264 49964
0 22690 45223
1 20092 77060
0 26397 50042
0 40287 74661
0 57812 77447
1 43391 47995
0 32138 34946
0 46072 55484
0 44912 55653
0 21233 57543
0 37049 39304
0 71252 74832
1 35117 44075
0 25499 61223
0 33619 67671
0 26163 65150
0 66278 77691
0 44860 60773
0 24206 44365
0 50694 63887
0 21558 77878
0 29456 44327
1 25546 43240
0 36438 70712
1 67096 68671
0 23121 57659
0 30590 54393
0 55256 63487
1 37112 44223
0 40330 72200
0 25844 46827
0 61258 75775
0 33061 35303
0 75257 78300
0 28521 63783
0 23986 58107
0 44036 53383
0 72919 73963
0 28462 41597
0 32031 50853
0 60270 77720
0 38707 46626
0 36750 52578
0 24739 37406
0 33823 73221
1 55177 75888
0 30185 43084
1 25728 73909
0 44636 59265
0 36621 68108
0 38108 47250
0 38304 79466
0 36250 55063
0 44678 63125
0 37962 55428
0 31819 66553
1 46654 71330
0 29257 58013
0 31962 38053
0 20686 71545
1 55625 68393
0 46372 56547
1 37018 58112
0 33601 66769
0 31912 45989
0 21883 34873
0 50459 53992
1 37252 48550
1 53693 66591
0 52256 67974
0 22457 71887
0 47425 79263
1 36992 78191
1 22609 32428
0 63636 76449
0 32407 40599
0 47755 51661
0 43598 46912
0 29997 50309
0 38910 62915
0 50283 72238
0 35044 57583
0 68628 74605
0 23679 52803
0 28447 70667
0 49602 60913
0 40322 55186
0 57364 73366
1 37997 68338
0 42509 54623
0 25584 32943
0 25903 71676
0 59601 67284
1 34444 50243
0 52173 62425
1 38587 60615
0 57220 67067
1 49413 72841
1 35099 48325
0 42809 75070
1 24167 62789
1 24580 37706
1 43415 74075
0 28800 54328
1 47616 49189
0 24453 24713
0 29110 56253
0 28999 79137
1 42353 56977
0 35439 62989
0 27651 71594
1 20115 56795
0 62823 77172
0 41276 65266
1 28931 60366
0 41361 64251
0 76404 78447
0 28504 49846
0 44817 52443
1 50054 65535
0 33739 57420
0 21495 72515
0 53005 71194
1 27948 49968
1 54851 75100
0 51857 74321
0 20163 44517
1 35795 46039
0 26021 36712
1 36715 52897
0 41139 79179
0 69698 72099
1 33180 37446
0 25750 30111
0 61346 76228
1 21575 77703
1 51187 68919
0 47654 63002
0 46529 70583
0 24959 58908
0 52001 73873
0 25741 60832
0 34896 48855
1 43689 46225
0 23359 25364
0 28014 33987
1 57783 62734
0 21906 54420
0 22753 31306
0 30715 52092
1 27280 72036
0 30747 37156
0 20955 51461
0 32424 54917
0 34722 76346
1 45270 50452
1 20711 27591
0 33984 72474
1 26930 72369
0 26586 76494
1 37238 53557
0 23180 59107
1 22520 31015
0 29045 64466
1 26488 64576
1 55371 70006
1 31220 75442
1 20755 33470
1 25030 42196
0 69112 77326
0 37644 76998
0 27034 46459
0 23794 31826
0 64672 78374
0 36967 57913
0 71548 78029
1 37459 42833
0 33335 46155
0 36213 76964
1 45459 71069
0 53591 79507
1 63382 65538
0 32332 79175
1 44779 72829
0 22726 45404
0 32648 72142
0 29560 53176
1 43519 49887
1 30763 47298
0 29946 67235
0 27584 31498
1 47421 58479
0 57717 59021
1 34955 38799
0 37069 77351
1 24061 72187
0 32730 48846
0 53140 63567
1 20080 41952
1 23505 74245
0 50377 50762
1 41851 56930
0 20443 58511
1 25301 40372
0 25263 60064
0 52219 78144
0 24167 32909
0 41987 52962
0 43607 58190
0 67666 70742
1 42477 47369
1 68035 72290
0 28722 38834
1 28416 28785
1 28040 58006
0 56484 60778
0 32360 54992
0 37142 41864
1 35209 64048
1 22888 48735
0 24705 48626
0 59700 69420
1 32189 59215
0 21528 55353
0 42791 79925
1 21745 50470
0 60807 76509
1 42573 60565
1 30018 63265
0 50392 53488
0 27043 52858
0 28628 32446
0 51308 71435
1 27742 56655
0 54326 55051
0 34623 66762
0 22267 43048
1 36059 67720
0 25896 32783
1 37069 55313
1 32606 49793
0 41420 66341
1 33409 64642
0 23781 61681
0 49373 78496
0 21290 71568
0 21539 75915
1 30873 68866
0 56329 76475
0 25222 63549
1 48461 77683
0 26134 63948
1 30047 62316
1 32327 38669
0 34635 70156
0 42205 55120
1 60469 71599
0 45355 57611
0 26044 26839
0 71902 72100
0 34239 45049
0 21270 79468
0 62144 68368
0 23552 64063
0 26694 63653
0 41174 63031
0 35059 38859
0 28058 42562
1 39094 55907
0 26281 75366
1 20293 40166
1 43761 58175
1 49034 78786
0 42745 59602
0 39190 78545
0 31289 71990
0 47970 75525
1 41127 51249
1 35194 67771
0 32809 72834
1 33687 77192
0 32055 71645
0 38984 70851
0 39127 61137
0 60508 72300
0 29129 34733
1 20973 72189
0 41785 75090
0 64377 66283
0 22133 32667
0 32734 66821
0 40333 59949
0 35266 56159
0 34517 52971
0 32670 33622
0 23674 36172
0 24371 54400
1 30632 66322
0 66057 69372
0 51349 74939
1 42920 51211
0 49513 65017
0 31477 35733
0 40044 68123
0 62763 69219
1 31106 64569
0 26563 38684
1 24487 47100
0 38404 50135
0 40951 51195
0 24828 44556
0 40086 73301
0 57439 67592
1 43983 76140
0 24914 44810
0 27837 72015
1 21042 53314
0 24037 30188
0 30905 78343
1 31837 47954
0 40375 42984
1 70944 77640
1 22399 61171
1 33535 54080
0 73759 76315
1 39160 47013
0 26417 49844
1 44246 77158
0 73140 76705
0 26828 57091
1 23073 45704
1 33232 63416
0 35181 71796
0 39103 66126
0 39856 65413
1 38401 45585
0 31939 73556
0 26768 43533
1 67471 77903
0 21680 32233
1 35794 40322
0 51261 51285
0 40385 49877
1 35749 66703
0 21624 79168
0 47673 66344
0 45867 69015
0 39697 68725
0 33673 58932
0 21283 24369
0 51750 68036
1 40508 68648
0 36357 50906
0 25368 74994
0 56259 77265
0 33136 75730
0 33405 37646
1 26316 48517
0 34189 40666
0 56198 70742
0 53466 76391
0 31046 35302
0 26352 63420
1 52156 54083
1 50789 74598
1 51208 51442
0 28749 42796
0 51986 77817
0 46062 70005
1 60651 72633
1 53032 58417
0 40576 77487
0 31377 72462
0 72490 76746
1 41014 71933
1 35171 58210
0 29622 58015
1 20080 46986
0 24046 61400
1 47354 58641
0 67500 77653
0 63003 76545
0 34256 53302
1 36846 72804
0 31160 64066
0 38551 49195
0 31158 45674
0 53853 75107
1 38206 67583
1 30812 61063
0 41889 77412
1 23456 48759
1 42327 75333
0 26487 76264
1 35646 37583
0 29216 55690
0 48497 59113
0 35377 45672
0 35619 43844
0 65757 72856
1 52584 74437
1 48638 73370
0 32100 56336
0 26935 32151
1 20410 21878
0 54270 74414
1 32028 73033
0 20161 64911
0 20976 69349
0 24218 60453
0 48283 56645
1 55809 71577
1 41670 70381
1 23102 33723
0 23835 61437
1 30089 33986
0 48355 58864
1 51575 73352
1 26477 37112
0 33107 35554
0 20893 77006
0 47233 53646
0 37105 54982
1 38038 65670
1 51663 62938
1 26020 52742
0 20638 62283
0 61455 79007
0 26434 43150
0 50022 63323
0 63810 65904
0 53621 77597
0 21735 30757
0 29595 79365
1 57277 65668
0 29705 51848
0 49292 53323
1 26503 57829
0 38929 69914
0 42758 54233
0 42218 49179
0 29676 44101
1 42908 47895
0 39953 52093
0 42297 54846
0 49954 67542
0 70164 76162
0 49908 59201
1 66178 67505
1 26844 30269
0 31649 36883
0 33168 71423
0 61827 67307
1 64938 68119
1 24574 73849
0 43797 61242
0 35827 42892
1 22547 47746
0 27395 72445
0 53331 56755
