a0 a
c0000101 c000010
c0010000 c001000
c0010001 c001000
c0010010 c001001
c0010020 c001002
c0010021 c001002
c0011000 c001100
c0011001 c001100
c0011002 c001100
c0011100 c001110
a00000000 a0000000
a00000001 a0000000
a00000002 a0000000
a00000100 a0000010
a00000110 a0000011
a00000111 a0000011
a00001000 a0000100
a00001010 a0000101
a00001011 a0000101
a00001020 a0000102
a00001021 a0000102
a00001022 a0000102
a00001100 a0000110
a00001101 a0000110
a00001110 a0000111
a00001120 a0000112
a00001121 a0000112
a00001122 a0000112
a00002000 a0000200
a00002001 a0000200
a00002100 a0000210
a00002110 a0000211
a00010000 a0001000
a00010001 a0001000
a00010010 a0001001
a00010011 a0001001
a00010100 a0001010
a00010110 a0001011
a00010111 a0001011
a00010112 a0001011
a00011000 a0001100
a00011010 a0001101
a00011011 a0001101
a00011020 a0001102
a00011021 a0001102
a00011100 a0001110
a00011200 a0001120
a00011210 a0001121
a00011211 a0001121
a00011220 a0001122
a00011221 a0001122
a00012000 a0001200
a00012100 a0001210
a00012101 a0001210
a00012102 a0001210
a00012110 a0001211
a00020000 a0002000
a00020001 a0002000
a00020010 a0002001
a00021000 a0002100
a00021001 a0002100
a00021002 a0002100
a00021010 a0002101
a00021011 a0002101
a00021020 a0002102
a00021100 a0002110
a00021101 a0002110
no.child no.parent
a b
a c
a a0
a b0
a c0
a a00
a a01
a b00
a b01
a c00
a a000
a a001
a a002
a a010
a a011
a b000
a b010
a c000
a c001
a a0000
a a0001
a a0002
a a0010
a a0011
a a0020
a a0021
a a0100
a a0110
a b0000
a b0001
a b0002
a b0100
a b0101
a c0000
a c0010
a c0011
a a00000
a a00001
a a00002
a a00010
a a00011
a a00012
a a00020
a a00021
a a00100
a a00101
a a00102
a a00110
a a00111
a a00112
a a00200
a a00210
a a01000
a a01100
a b00000
a b00001
a b00010
a b00020
a b01000
a b01001
a b01010
a c00000
a c00001
a c00100
a c00110
a c00111
a a000000
a a000001
a a000010
a a000011
a a000020
a a000021
a a000100
a a000101
a a000110
a a000111
a a000112
a a000120
a a000121
a a000200
a a000210
a a000211
a a001000
a a001001
a a001002
a a001010
a a001011
a a001020
a a001100
a a001110
a a001111
a a001120
a a001121
a a001122
a a002000
a a002001
a a002002
a a002100
a a002101
a a010000
a a011000
a a011001
a a011002
a b000000
a b000001
a b000010
a b000011
a b000100
a b000101
a b000102
a b000200
a b000201
a b000202
a b010000
a b010001
a b010010
a b010011
a b010100
a b010101
a b010102
a c000000
a c000001
a c000010
a c001000
a c001001
a c001002
a c001100
a c001110
a a0000000
a a0000010
a a0000011
a a0000100
a a0000101
a a0000102
a a0000110
a a0000111
a a0000112
a a0000200
a a0000210
a a0000211
a a0001000
a a0001001
a a0001010
a a0001011
a a0001100
a a0001101
a a0001102
a a0001110
a a0001120
a a0001121
a a0001122
a a0001200
a a0001210
a a0001211
a a0002000
a a0002001
a a0002100
a a0002101
a a0002102
a a0002110
a a0002111
a a0010000
a a0010010
a a0010020
a a0010100
a a0010101
a a0010110
a a0010111
a a0010200
a a0011000
a a0011100
a a0011110
a a0011111
a a0011200
a a0011210
a a0011211
a a0011220
a a0011221
a a0011222
a a0020000
a a0020010
a a0020011
a a0020020
a a0020021
a a0020022
a a0021000
a a0021010
a a0100000
a a0100001
a a0110000
a a0110010
a a0110011
a a0110020
a b0000000
a b0000001
a b0000010
a b0000011
a b0000012
a b0000100
a b0000110
a b0000111
a b0000112
a b0001000
a b0001001
a b0001002
a b0001010
a b0001020
a b0002000
a b0002001
a b0002010
a b0002020
a b0002021
a b0100000
a b0100001
a b0100010
a b0100100
a b0100101
a b0100110
a b0101000
a b0101001
a b0101002
a b0101010
a b0101011
a b0101012
a b0101020
a b0101021
a c0000000
a c0000001
a c0000002
a c0000010
a c0000011
a c0000100
a c0000101
a c0010000
a c0010001
a c0010010
a c0010020
a c0010021
a c0011000
a c0011001
a c0011002
a c0011100
a a00000000
a a00000001
a a00000002
a a00000100
a a00000110
a a00000111
a a00001000
a a00001010
a a00001011
a a00001020
a a00001021
a a00001022
a a00001100
a a00001101
a a00001110
a a00001120
a a00001121
a a00001122
a a00002000
a a00002001
a a00002100
a a00002110
a a00010000
a a00010001
a a00010010
a a00010011
a a00010100
a a00010110
a a00010111
a a00010112
a a00011000
a a00011010
a a00011011
a a00011020
a a00011021
a a00011100
a a00011200
a a00011210
a a00011211
a a00011220
a a00011221
a a00012000
a a00012100
a a00012101
a a00012102
a a00012110
a a00020000
a a00020001
a a00020010
a a00021000
a a00021001
a a00021002
a a00021010
a a00021011
a a00021020
a a00021100
a a00021101
b c
b a0
b b0
b c0
b a00
b a01
b b00
b b01
b c00
b a000
b a001
b a002
b a010
b a011
b b000
b b010
b c000
b c001
b a0000
b a0001
b a0002
b a0010
b a0011
b a0020
b a0021
b a0100
b a0110
b b0000
b b0001
b b0002
b b0100
b b0101
b c0000
b c0010
b c0011
b a00000
b a00001
b a00002
b a00010
b a00011
b a00012
b a00020
b a00021
b a00100
b a00101
b a00102
b a00110
b a00111
b a00112
b a00200
b a00210
b a01000
b a01100
b b00000
b b00001
b b00010
b b00020
b b01000
b b01001
b b01010
b c00000
b c00001
b c00100
b c00110
b c00111
b a000000
b a000001
b a000010
b a000011
b a000020
b a000021
b a000100
b a000101
b a000110
b a000111
b a000112
b a000120
b a000121
b a000200
b a000210
b a000211
b a001000
b a001001
b a001002
b a001010
b a001011
b a001020
b a001100
b a001110
b a001111
b a001120
b a001121
b a001122
b a002000
b a002001
b a002002
b a002100
b a002101
b a010000
b a011000
b a011001
b a011002
b b000000
b b000001
b b000010
b b000011
b b000100
b b000101
b b000102
b b000200
b b000201
b b000202
b b010000
b b010001
b b010010
b b010011
b b010100
b b010101
b b010102
b c000000
b c000001
b c000010
b c001000
b c001001
b c001002
b c001100
b c001110
b a0000000
b a0000010
b a0000011
b a0000100
b a0000101
b a0000102
b a0000110
b a0000111
b a0000112
b a0000200
b a0000210
b a0000211
b a0001000
b a0001001
b a0001010
b a0001011
b a0001100
b a0001101
b a0001102
b a0001110
b a0001120
b a0001121
b a0001122
b a0001200
b a0001210
b a0001211
b a0002000
b a0002001
b a0002100
b a0002101
b a0002102
b a0002110
b a0002111
b a0010000
b a0010010
b a0010020
b a0010100
b a0010101
b a0010110
b a0010111
b a0010200
b a0011000
b a0011100
b a0011110
b a0011111
b a0011200
b a0011210
b a0011211
b a0011220
b a0011221
b a0011222
b a0020000
b a0020010
b a0020011
b a0020020
b a0020021
b a0020022
b a0021000
b a0021010
b a0100000
b a0100001
b a0110000
b a0110010
b a0110011
b a0110020
b b0000000
b b0000001
b b0000010
b b0000011
b b0000012
b b0000100
b b0000110
b b0000111
b b0000112
b b0001000
b b0001001
b b0001002
b b0001010
b b0001020
b b0002000
b b0002001
b b0002010
b b0002020
b b0002021
b b0100000
b b0100001
b b0100010
b b0100100
b b0100101
b b0100110
b b0101000
b b0101001
b b0101002
b b0101010
b b0101011
b b0101012
b b0101020
b b0101021
b c0000000
b c0000001
b c0000002
b c0000010
b c0000011
b c0000100
b c0000101
b c0010000
b c0010001
b c0010010
b c0010020
b c0010021
b c0011000
b c0011001
b c0011002
b c0011100
b a00000000
b a00000001
b a00000002
b a00000100
b a00000110
b a00000111
b a00001000
b a00001010
b a00001011
b a00001020
b a00001021
b a00001022
b a00001100
b a00001101
b a00001110
b a00001120
b a00001121
b a00001122
b a00002000
b a00002001
b a00002100
b a00002110
b a00010000
b a00010001
b a00010010
b a00010011
b a00010100
b a00010110
b a00010111
b a00010112
b a00011000
b a00011010
b a00011011
b a00011020
b a00011021
b a00011100
b a00011200
b a00011210
b a00011211
b a00011220
b a00011221
b a00012000
b a00012100
b a00012101
b a00012102
b a00012110
b a00020000
b a00020001
b a00020010
b a00021000
b a00021001
b a00021002
b a00021010
b a00021011
b a00021020
b a00021100
b a00021101
c a0
c b0
c c0
c a00
c a01
c b00
c b01
c c00
c a000
c a001
c a002
c a010
c a011
c b000
c b010
c c000
c c001
c a0000
c a0001
c a0002
c a0010
c a0011
c a0020
c a0021
c a0100
c a0110
c b0000
c b0001
c b0002
c b0100
c b0101
c c0000
c c0010
c c0011
c a00000
c a00001
c a00002
c a00010
c a00011
c a00012
c a00020
c a00021
c a00100
c a00101
c a00102
c a00110
c a00111
c a00112
c a00200
c a00210
c a01000
c a01100
c b00000
c b00001
c b00010
c b00020
c b01000
c b01001
c b01010
c c00000
c c00001
c c00100
c c00110
c c00111
c a000000
c a000001
c a000010
c a000011
c a000020
c a000021
c a000100
c a000101
c a000110
c a000111
c a000112
c a000120
c a000121
c a000200
c a000210
c a000211
c a001000
c a001001
c a001002
c a001010
c a001011
c a001020
c a001100
c a001110
c a001111
c a001120
c a001121
c a001122
c a002000
c a002001
c a002002
c a002100
c a002101
c a010000
c a011000
c a011001
c a011002
c b000000
c b000001
c b000010
c b000011
c b000100
c b000101
c b000102
c b000200
c b000201
c b000202
c b010000
c b010001
c b010010
c b010011
c b010100
c b010101
c b010102
c c000000
c c000001
c c000010
c c001000
c c001001
c c001002
c c001100
c c001110
c a0000000
c a0000010
c a0000011
c a0000100
c a0000101
c a0000102
c a0000110
c a0000111
c a0000112
c a0000200
c a0000210
c a0000211
c a0001000
c a0001001
c a0001010
c a0001011
c a0001100
c a0001101
c a0001102
c a0001110
c a0001120
c a0001121
c a0001122
c a0001200
c a0001210
c a0001211
c a0002000
c a0002001
c a0002100
c a0002101
c a0002102
c a0002110
c a0002111
c a0010000
c a0010010
c a0010020
c a0010100
c a0010101
c a0010110
c a0010111
c a0010200
c a0011000
c a0011100
c a0011110
c a0011111
c a0011200
c a0011210
c a0011211
c a0011220
c a0011221
c a0011222
c a0020000
c a0020010
c a0020011
c a0020020
c a0020021
c a0020022
c a0021000
c a0021010
c a0100000
c a0100001
c a0110000
c a0110010
c a0110011
c a0110020
c b0000000
c b0000001
c b0000010
c b0000011
c b0000012
c b0000100
c b0000110
c b0000111
c b0000112
c b0001000
c b0001001
c b0001002
c b0001010
c b0001020
c b0002000
c b0002001
c b0002010
c b0002020
c b0002021
c b0100000
c b0100001
c b0100010
c b0100100
c b0100101
c b0100110
c b0101000
c b0101001
c b0101002
c b0101010
c b0101011
c b0101012
c b0101020
c b0101021
c c0000000
c c0000001
c c0000002
c c0000010
c c0000011
c c0000100
c c0000101
c c0010000
c c0010001
c c0010010
c c0010020
c c0010021
c c0011000
c c0011001
c c0011002
c c0011100
c a00000000
c a00000001
c a00000002
c a00000100
c a00000110
c a00000111
c a00001000
c a00001010
c a00001011
c a00001020
c a00001021
c a00001022
c a00001100
c a00001101
c a00001110
c a00001120
c a00001121
c a00001122
c a00002000
c a00002001
c a00002100
c a00002110
c a00010000
c a00010001
c a00010010
c a00010011
c a00010100
c a00010110
c a00010111
c a00010112
c a00011000
c a00011010
c a00011011
c a00011020
c a00011021
c a00011100
c a00011200
c a00011210
c a00011211
c a00011220
c a00011221
c a00012000
c a00012100
c a00012101
c a00012102
c a00012110
c a00020000
c a00020001
c a00020010
c a00021000
c a00021001
c a00021002
c a00021010
c a00021011
c a00021020
c a00021100
c a00021101
a0 b0
a0 c0
a0 a00
a0 a01
a0 b00
a0 b01
a0 c00
a0 a000
a0 a001
a0 a002
a0 a010
a0 a011
a0 b000
a0 b010
a0 c000
a0 c001
a0 a0000
a0 a0001
a0 a0002
a0 a0010
a0 a0011
a0 a0020
a0 a0021
a0 a0100
a0 a0110
a0 b0000
a0 b0001
a0 b0002
a0 b0100
a0 b0101
a0 c0000
a0 c0010
a0 c0011
a0 a00000
a0 a00001
a0 a00002
a0 a00010
a0 a00011
a0 a00012
a0 a00020
a0 a00021
a0 a00100
a0 a00101
a0 a00102
a0 a00110
a0 a00111
a0 a00112
a0 a00200
a0 a00210
a0 a01000
a0 a01100
a0 b00000
a0 b00001
a0 b00010
a0 b00020
a0 b01000
a0 b01001
a0 b01010
a0 c00000
a0 c00001
a0 c00100
a0 c00110
a0 c00111
a0 a000000
a0 a000001
a0 a000010
a0 a000011
a0 a000020
a0 a000021
a0 a000100
a0 a000101
a0 a000110
a0 a000111
a0 a000112
a0 a000120
a0 a000121
a0 a000200
a0 a000210
a0 a000211
a0 a001000
a0 a001001
a0 a001002
a0 a001010
a0 a001011
a0 a001020
a0 a001100
a0 a001110
a0 a001111
a0 a001120
a0 a001121
a0 a001122
a0 a002000
a0 a002001
a0 a002002
a0 a002100
a0 a002101
a0 a010000
a0 a011000
a0 a011001
a0 a011002
a0 b000000
a0 b000001
a0 b000010
a0 b000011
a0 b000100
a0 b000101
a0 b000102
a0 b000200
a0 b000201
a0 b000202
a0 b010000
a0 b010001
a0 b010010
a0 b010011
a0 b010100
a0 b010101
a0 b010102
a0 c000000
a0 c000001
a0 c000010
a0 c001000
a0 c001001
a0 c001002
a0 c001100
a0 c001110
a0 a0000000
a0 a0000010
a0 a0000011
a0 a0000100
a0 a0000101
a0 a0000102
a0 a0000110
a0 a0000111
a0 a0000112
a0 a0000200
a0 a0000210
a0 a0000211
a0 a0001000
a0 a0001001
a0 a0001010
a0 a0001011
a0 a0001100
a0 a0001101
a0 a0001102
a0 a0001110
a0 a0001120
a0 a0001121
a0 a0001122
a0 a0001200
a0 a0001210
a0 a0001211
a0 a0002000
a0 a0002001
a0 a0002100
a0 a0002101
a0 a0002102
a0 a0002110
a0 a0002111
a0 a0010000
a0 a0010010
a0 a0010020
a0 a0010100
a0 a0010101
a0 a0010110
a0 a0010111
a0 a0010200
a0 a0011000
a0 a0011100
a0 a0011110
a0 a0011111
a0 a0011200
a0 a0011210
a0 a0011211
a0 a0011220
a0 a0011221
a0 a0011222
a0 a0020000
a0 a0020010
a0 a0020011
a0 a0020020
a0 a0020021
a0 a0020022
a0 a0021000
a0 a0021010
a0 a0100000
a0 a0100001
a0 a0110000
a0 a0110010
a0 a0110011
a0 a0110020
a0 b0000000
a0 b0000001
a0 b0000010
a0 b0000011
a0 b0000012
a0 b0000100
a0 b0000110
a0 b0000111
a0 b0000112
a0 b0001000
a0 b0001001
a0 b0001002
a0 b0001010
a0 b0001020
a0 b0002000
a0 b0002001
a0 b0002010
a0 b0002020
a0 b0002021
a0 b0100000
a0 b0100001
a0 b0100010
a0 b0100100
a0 b0100101
a0 b0100110
a0 b0101000
a0 b0101001
a0 b0101002
a0 b0101010
a0 b0101011
a0 b0101012
a0 b0101020
a0 b0101021
a0 c0000000
a0 c0000001
a0 c0000002
a0 c0000010
a0 c0000011
a0 c0000100
a0 c0000101
a0 c0010000
a0 c0010001
a0 c0010010
a0 c0010020
a0 c0010021
a0 c0011000
a0 c0011001
a0 c0011002
a0 c0011100
a0 a00000000
a0 a00000001
a0 a00000002
a0 a00000100
a0 a00000110
a0 a00000111
a0 a00001000
a0 a00001010
a0 a00001011
a0 a00001020
a0 a00001021
a0 a00001022
a0 a00001100
a0 a00001101
a0 a00001110
a0 a00001120
a0 a00001121
a0 a00001122
a0 a00002000
a0 a00002001
a0 a00002100
a0 a00002110
a0 a00010000
a0 a00010001
a0 a00010010
a0 a00010011
a0 a00010100
a0 a00010110
a0 a00010111
a0 a00010112
a0 a00011000
a0 a00011010
a0 a00011011
a0 a00011020
a0 a00011021
a0 a00011100
a0 a00011200
a0 a00011210
a0 a00011211
a0 a00011220
a0 a00011221
a0 a00012000
a0 a00012100
a0 a00012101
a0 a00012102
a0 a00012110
a0 a00020000
a0 a00020001
a0 a00020010
a0 a00021000
a0 a00021001
a0 a00021002
a0 a00021010
a0 a00021011
a0 a00021020
a0 a00021100
a0 a00021101
b0 c0
b0 a00
b0 a01
b0 b00
b0 b01
b0 c00
b0 a000
b0 a001
b0 a002
b0 a010
b0 a011
b0 b000
b0 b010
b0 c000
b0 c001
b0 a0000
b0 a0001
b0 a0002
b0 a0010
b0 a0011
b0 a0020
b0 a0021
b0 a0100
b0 a0110
b0 b0000
b0 b0001
b0 b0002
b0 b0100
b0 b0101
b0 c0000
b0 c0010
b0 c0011
b0 a00000
b0 a00001
b0 a00002
b0 a00010
b0 a00011
b0 a00012
b0 a00020
b0 a00021
b0 a00100
b0 a00101
b0 a00102
b0 a00110
b0 a00111
b0 a00112
b0 a00200
b0 a00210
b0 a01000
b0 a01100
b0 b00000
b0 b00001
b0 b00010
b0 b00020
b0 b01000
b0 b01001
b0 b01010
b0 c00000
b0 c00001
b0 c00100
b0 c00110
b0 c00111
b0 a000000
b0 a000001
b0 a000010
b0 a000011
b0 a000020
b0 a000021
b0 a000100
b0 a000101
b0 a000110
b0 a000111
b0 a000112
b0 a000120
b0 a000121
b0 a000200
b0 a000210
b0 a000211
b0 a001000
b0 a001001
b0 a001002
b0 a001010
b0 a001011
b0 a001020
b0 a001100
b0 a001110
b0 a001111
b0 a001120
b0 a001121
b0 a001122
b0 a002000
b0 a002001
b0 a002002
b0 a002100
b0 a002101
b0 a010000
b0 a011000
b0 a011001
b0 a011002
b0 b000000
b0 b000001
b0 b000010
b0 b000011
b0 b000100
b0 b000101
b0 b000102
b0 b000200
b0 b000201
b0 b000202
b0 b010000
b0 b010001
b0 b010010
b0 b010011
b0 b010100
b0 b010101
b0 b010102
b0 c000000
b0 c000001
b0 c000010
b0 c001000
b0 c001001
b0 c001002
b0 c001100
b0 c001110
b0 a0000000
b0 a0000010
b0 a0000011
b0 a0000100
b0 a0000101
b0 a0000102
b0 a0000110
b0 a0000111
b0 a0000112
b0 a0000200
b0 a0000210
b0 a0000211
b0 a0001000
b0 a0001001
b0 a0001010
b0 a0001011
b0 a0001100
b0 a0001101
b0 a0001102
b0 a0001110
b0 a0001120
b0 a0001121
b0 a0001122
b0 a0001200
b0 a0001210
b0 a0001211
b0 a0002000
b0 a0002001
b0 a0002100
b0 a0002101
b0 a0002102
b0 a0002110
b0 a0002111
b0 a0010000
b0 a0010010
b0 a0010020
b0 a0010100
b0 a0010101
b0 a0010110
b0 a0010111
b0 a0010200
b0 a0011000
b0 a0011100
b0 a0011110
b0 a0011111
b0 a0011200
b0 a0011210
b0 a0011211
b0 a0011220
b0 a0011221
b0 a0011222
b0 a0020000
b0 a0020010
b0 a0020011
b0 a0020020
b0 a0020021
b0 a0020022
b0 a0021000
b0 a0021010
b0 a0100000
b0 a0100001
b0 a0110000
b0 a0110010
b0 a0110011
b0 a0110020
b0 b0000000
b0 b0000001
b0 b0000010
b0 b0000011
b0 b0000012
b0 b0000100
b0 b0000110
b0 b0000111
b0 b0000112
b0 b0001000
b0 b0001001
b0 b0001002
b0 b0001010
b0 b0001020
b0 b0002000
b0 b0002001
b0 b0002010
b0 b0002020
b0 b0002021
b0 b0100000
b0 b0100001
b0 b0100010
b0 b0100100
b0 b0100101
b0 b0100110
b0 b0101000
b0 b0101001
b0 b0101002
b0 b0101010
b0 b0101011
b0 b0101012
b0 b0101020
b0 b0101021
b0 c0000000
b0 c0000001
b0 c0000002
b0 c0000010
b0 c0000011
b0 c0000100
b0 c0000101
b0 c0010000
b0 c0010001
b0 c0010010
b0 c0010020
b0 c0010021
b0 c0011000
b0 c0011001
b0 c0011002
b0 c0011100
b0 a00000000
b0 a00000001
b0 a00000002
b0 a00000100
b0 a00000110
b0 a00000111
b0 a00001000
b0 a00001010
b0 a00001011
b0 a00001020
b0 a00001021
b0 a00001022
b0 a00001100
b0 a00001101
b0 a00001110
b0 a00001120
b0 a00001121
b0 a00001122
b0 a00002000
b0 a00002001
b0 a00002100
b0 a00002110
b0 a00010000
b0 a00010001
b0 a00010010
b0 a00010011
b0 a00010100
b0 a00010110
b0 a00010111
b0 a00010112
b0 a00011000
b0 a00011010
b0 a00011011
b0 a00011020
b0 a00011021
b0 a00011100
b0 a00011200
b0 a00011210
b0 a00011211
b0 a00011220
b0 a00011221
b0 a00012000
b0 a00012100
b0 a00012101
b0 a00012102
b0 a00012110
b0 a00020000
b0 a00020001
b0 a00020010
b0 a00021000
b0 a00021001
b0 a00021002
b0 a00021010
b0 a00021011
b0 a00021020
b0 a00021100
b0 a00021101
c0 a00
c0 a01
c0 b00
c0 b01
c0 c00
c0 a000
c0 a001
c0 a002
c0 a010
c0 a011
c0 b000
c0 b010
c0 c000
c0 c001
c0 a0000
c0 a0001
c0 a0002
c0 a0010
c0 a0011
c0 a0020
c0 a0021
c0 a0100
c0 a0110
c0 b0000
c0 b0001
c0 b0002
c0 b0100
c0 b0101
c0 c0000
c0 c0010
c0 c0011
c0 a00000
c0 a00001
c0 a00002
c0 a00010
c0 a00011
c0 a00012
c0 a00020
c0 a00021
c0 a00100
c0 a00101
c0 a00102
c0 a00110
c0 a00111
c0 a00112
c0 a00200
c0 a00210
c0 a01000
c0 a01100
c0 b00000
c0 b00001
c0 b00010
c0 b00020
c0 b01000
c0 b01001
c0 b01010
c0 c00000
c0 c00001
c0 c00100
c0 c00110
c0 c00111
c0 a000000
c0 a000001
c0 a000010
c0 a000011
c0 a000020
c0 a000021
c0 a000100
c0 a000101
c0 a000110
c0 a000111
c0 a000112
c0 a000120
c0 a000121
c0 a000200
c0 a000210
c0 a000211
c0 a001000
c0 a001001
c0 a001002
c0 a001010
c0 a001011
c0 a001020
c0 a001100
c0 a001110
c0 a001111
c0 a001120
c0 a001121
c0 a001122
c0 a002000
c0 a002001
c0 a002002
c0 a002100
c0 a002101
c0 a010000
c0 a011000
c0 a011001
c0 a011002
c0 b000000
c0 b000001
c0 b000010
c0 b000011
c0 b000100
c0 b000101
c0 b000102
c0 b000200
c0 b000201
c0 b000202
c0 b010000
c0 b010001
c0 b010010
c0 b010011
c0 b010100
c0 b010101
c0 b010102
c0 c000000
c0 c000001
c0 c000010
c0 c001000
c0 c001001
c0 c001002
c0 c001100
c0 c001110
c0 a0000000
c0 a0000010
c0 a0000011
c0 a0000100
c0 a0000101
c0 a0000102
c0 a0000110
c0 a0000111
c0 a0000112
c0 a0000200
c0 a0000210
c0 a0000211
c0 a0001000
c0 a0001001
c0 a0001010
c0 a0001011
c0 a0001100
c0 a0001101
c0 a0001102
c0 a0001110
c0 a0001120
c0 a0001121
c0 a0001122
c0 a0001200
c0 a0001210
c0 a0001211
c0 a0002000
c0 a0002001
c0 a0002100
c0 a0002101
c0 a0002102
c0 a0002110
c0 a0002111
c0 a0010000
c0 a0010010
c0 a0010020
c0 a0010100
c0 a0010101
c0 a0010110
c0 a0010111
c0 a0010200
c0 a0011000
c0 a0011100
c0 a0011110
c0 a0011111
c0 a0011200
c0 a0011210
c0 a0011211
c0 a0011220
c0 a0011221
c0 a0011222
c0 a0020000
c0 a0020010
c0 a0020011
c0 a0020020
c0 a0020021
c0 a0020022
c0 a0021000
c0 a0021010
c0 a0100000
c0 a0100001
c0 a0110000
c0 a0110010
c0 a0110011
c0 a0110020
c0 b0000000
c0 b0000001
c0 b0000010
c0 b0000011
c0 b0000012
c0 b0000100
c0 b0000110
c0 b0000111
c0 b0000112
c0 b0001000
c0 b0001001
c0 b0001002
c0 b0001010
c0 b0001020
c0 b0002000
c0 b0002001
c0 b0002010
c0 b0002020
c0 b0002021
c0 b0100000
c0 b0100001
c0 b0100010
c0 b0100100
c0 b0100101
c0 b0100110
c0 b0101000
c0 b0101001
c0 b0101002
c0 b0101010
c0 b0101011
c0 b0101012
c0 b0101020
c0 b0101021
c0 c0000000
c0 c0000001
c0 c0000002
c0 c0000010
c0 c0000011
c0 c0000100
c0 c0000101
c0 c0010000
c0 c0010001
c0 c0010010
c0 c0010020
c0 c0010021
c0 c0011000
c0 c0011001
c0 c0011002
c0 c0011100
c0 a00000000
c0 a00000001
c0 a00000002
c0 a00000100
c0 a00000110
c0 a00000111
c0 a00001000
c0 a00001010
c0 a00001011
c0 a00001020
c0 a00001021
c0 a00001022
c0 a00001100
c0 a00001101
c0 a00001110
c0 a00001120
c0 a00001121
c0 a00001122
c0 a00002000
c0 a00002001
c0 a00002100
c0 a00002110
c0 a00010000
c0 a00010001
c0 a00010010
c0 a00010011
c0 a00010100
c0 a00010110
c0 a00010111
c0 a00010112
c0 a00011000
c0 a00011010
c0 a00011011
c0 a00011020
c0 a00011021
c0 a00011100
c0 a00011200
c0 a00011210
