a0 a
a0 b02
a0 b10
a0 b11
a0 a000
a0 a001
a0 a010
a0 b000
a0 b001
a0 b010
a0 b020
a0 b021
a0 b100
a0 b101
a0 b110
a0 a0000
a0 a0001
a0 a0010
a0 a0011
a0 a0100
a0 a0101
a0 a0102
a0 b0000
a0 b0001
a0 b0010
a0 b0100
a0 b0200
a0 b0201
a0 b0202
a0 b0210
a0 b0211
a0 b0212
a0 b1000
a0 b1001
a0 b1010
a0 b1100
a0 b1101
a0 a00000
a0 a00010
a0 a00011
a0 a00100
a0 a00101
a0 a00102
a0 a00110
a0 a01000
a0 a01001
a0 a01010
a0 a01011
a0 a01020
a0 a01021
a0 a01022
a0 b00000
a0 b00001
a0 b00002
a0 b00010
a0 b00011
a0 b00012
a0 b00100
a0 b00101
a0 b01000
a0 b02000
a0 b02001
a0 b02010
a0 b02020
a0 b02021
a0 b02100
a0 b02101
a0 b02102
a0 b02110
a0 b02111
a0 b02120
a0 b02121
a0 b02122
a0 b10000
a0 b10001
a0 b10010
a0 b10011
a0 b10012
a0 b10100
a0 b11000
a0 b11001
a0 b11002
a0 b11010
a0 b11011
a0 a000000
a0 a000100
a0 a000110
a0 a000111
a0 a001000
a0 a001010
a0 a001011
a0 a001012
a0 a001020
a0 a001021
a0 a001100
a0 a001101
a0 a001102
a0 a010000
a0 a010010
a0 a010011
a0 a010012
a0 a010100
a0 a010101
a0 a010102
a0 a010110
a0 a010111
a0 a010200
a0 a010201
a0 a010202
a0 a010210
a0 a010220
a0 b000000
a0 b000010
a0 b000020
a0 b000021
a0 b000022
a0 b000100
a0 b000101
a0 b000102
a0 b000110
a0 b000111
a0 b000120
a0 b001000
a0 b001001
a0 b001010
a0 b001011
a0 b010000
a0 b010001
a0 b010002
a0 b020000
a0 b020010
a0 b020100
a0 b020101
a0 b020102
a0 b020200
a0 b020201
a0 b020202
a0 b020210
a0 b020211
a0 b020212
a0 b021000
a0 b021001
a0 b021002
a0 b021010
a0 b021011
a0 b021020
a0 b021100
a0 b021101
a0 b021102
a0 b021110
a0 b021111
a0 b021112
a0 b021200
a0 b021201
a0 b021202
a0 b021210
a0 b021220
a0 b021221
a0 b021222
a0 b100000
a0 b100010
a0 b100100
a0 b100101
a0 b100102
a0 b100110
a0 b100111
a0 b100112
a0 b100120
a0 b100121
a0 b100122
a0 b101000
a0 b101001
a0 b110000
a0 b110001
a0 b110010
a0 b110020
a0 b110021
a0 b110022
a0 b110100
a0 b110101
a0 b110102
a0 b110110
a0 a0000000
a0 a0000001
a0 a0000002
a0 a0001000
a0 a0001001
a0 a0001002
a0 a0001100
a0 a0001101
a0 a0001102
a0 a0001110
a0 a0010000
a0 a0010001
a0 a0010100
a0 a0010101
a0 a0010110
a0 a0010111
a0 a0010112
a0 a0010120
a0 a0010121
a0 a0010122
a0 a0010200
a0 a0010201
a0 a0010202
a0 a0010210
a0 a0010211
a0 a0011000
a0 a0011001
a0 a0011010
a0 a0011011
a0 a0011020
a0 a0011021
a0 a0100000
a0 a0100001
a0 a0100002
a0 a0100100
a0 a0100101
a0 a0100102
a0 a0100110
a0 a0100111
a0 a0100120
a0 a0100121
a0 a0101000
a0 a0101001
a0 a0101010
a0 a0101011
a0 a0101012
a0 a0101020
a0 a0101100
a0 a0101101
a0 a0101102
a0 a0101110
a0 a0101111
a0 a0101112
a0 a0102000
a0 a0102010
a0 a0102011
a0 a0102012
a0 a0102020
a0 a0102021
a0 a0102022
a0 a0102100
a0 a0102101
a0 a0102102
a0 a0102200
a0 a0102201
a0 b0000000
a0 b0000001
a0 b0000002
a0 b0000100
a0 b0000101
a0 b0000102
a0 b0000200
a0 b0000210
a0 b0000220
a0 b0000221
a0 b0001000
a0 b0001010
a0 b0001020
a0 b0001021
a0 b0001100
a0 b0001101
a0 b0001110
a0 b0001111
a0 b0001200
a0 b0001201
a0 b0010000
a0 b0010010
a0 b0010100
a0 b0010101
a0 b0010102
a0 b0010110
a0 b0010111
a0 b0100000
a0 b0100001
a0 b0100002
a0 b0100010
a0 b0100011
a0 b0100020
a0 b0100021
a0 b0200000
a0 b0200001
a0 b0200100
a0 b0200101
a0 b0200102
a0 b0201000
a0 b0201010
a0 b0201020
a0 b0201021
a0 b0202000
a0 b0202010
b0 b1
b0 a00
b0 a01
b0 b00
b0 b01
b0 b02
b0 b10
b0 b11
b0 a000
b0 a001
b0 a010
b0 b000
b0 b001
b0 b010
b0 b020
b0 b021
b0 b100
b0 b101
b0 b110
b0 a0000
b0 a0001
b0 a0010
b0 a0011
b0 a0100
b0 a0101
b0 a0102
b0 b0000
b0 b0001
b0 b0010
b0 b0100
b0 b0200
b0 b0201
b0 b0202
b0 b0210
b0 b0211
b0 b0212
b0 b1000
b0 b1001
b0 b1010
b0 b1100
b0 b1101
b0 a00000
b0 a00010
b0 a00011
b0 a00100
b0 a00101
b0 a00102
b0 a00110
b0 a01000
b0 a01001
b0 a01010
b0 a01011
b0 a01020
b0 a01021
b0 a01022
b0 b00000
b0 b00001
b0 b00002
b0 b00010
b0 b00011
b0 b00012
b0 b00100
b0 b00101
b0 b01000
b0 b02000
b0 b02001
b0 b02010
b0 b02020
b0 b02021
b0 b02100
b0 b02101
b0 b02102
b0 b02110
b0 b02111
b0 b02120
b0 b02121
b0 b02122
b0 b10000
b0 b10001
b0 b10010
b0 b10011
b0 b10012
b0 b10100
b0 b11000
b0 b11001
b0 b11002
b0 b11010
b0 b11011
b0 a000000
b0 a000100
b0 a000110
b0 a000111
b0 a001000
b0 a001010
b0 a001011
b0 a001012
b0 a001020
b0 a001021
b0 a001100
b0 a001101
b0 a001102
b0 a010000
b0 a010010
b0 a010011
b0 a010012
b0 a010100
b0 a010101
b0 a010102
b0 a010110
b0 a010111
b0 a010200
b0 a010201
b0 a010202
b0 a010210
b0 a010220
b0 b000000
b0 b000010
b0 b000020
b0 b000021
b0 b000022
b0 b000100
b0 b000101
b0 b000102
b0 b000110
b0 b000111
b0 b000120
b0 b001000
b0 b001001
b0 b001010
b0 b001011
b0 b010000
b0 b010001
b0 b010002
b0 b020000
b0 b020010
b0 b020100
b0 b020101
b0 b020102
b0 b020200
b0 b020201
b0 b020202
b0 b020210
b0 b020211
b0 b020212
b0 b021000
b0 b021001
b0 b021002
b0 b021010
b0 b021011
b0 b021020
b0 b021100
b0 b021101
b0 b021102
b0 b021110
b0 b021111
b0 b021112
b0 b021200
b0 b021201
b0 b021202
b0 b021210
b0 b021220
b0 b021221
b0 b021222
b0 b100000
b0 b100010
b0 b100100
b0 b100101
b0 b100102
b0 b100110
b0 b100111
b0 b100112
b0 b100120
b0 b100121
b0 b100122
b0 b101000
b0 b101001
b0 b110000
b0 b110001
b0 b110010
b0 b110020
b0 b110021
b0 b110022
b0 b110100
b0 b110101
b0 b110102
b0 b110110
b0 a0000000
b0 a0000001
b0 a0000002
b0 a0001000
b0 a0001001
b0 a0001002
b0 a0001100
b0 a0001101
b0 a0001102
b0 a0001110
b0 a0010000
b0 a0010001
b0 a0010100
b0 a0010101
b0 a0010110
b0 a0010111
b0 a0010112
b0 a0010120
b0 a0010121
b0 a0010122
b0 a0010200
b0 a0010201
b0 a0010202
b0 a0010210
b0 a0010211
b0 a0011000
b0 a0011001
b0 a0011010
b0 a0011011
b0 a0011020
b0 a0011021
b0 a0100000
b0 a0100001
b0 a0100002
b0 a0100100
b0 a0100101
b0 a0100102
b0 a0100110
b0 a0100111
b0 a0100120
b0 a0100121
b0 a0101000
b0 a0101001
b0 a0101010
b0 a0101011
b0 a0101012
b0 a0101020
b0 a0101100
b0 a0101101
b0 a0101102
b0 a0101110
b0 a0101111
b0 a0101112
b0 a0102000
b0 a0102010
b0 a0102011
b0 a0102012
b0 a0102020
b0 a0102021
b0 a0102022
b0 a0102100
b0 a0102101
b0 a0102102
b0 a0102200
b0 a0102201
b0 b0000000
b0 b0000001
b0 b0000002
b0 b0000100
b0 b0000101
b0 b0000102
b0 b0000200
b0 b0000210
b0 b0000220
b0 b0000221
b0 b0001000
b0 b0001010
b0 b0001020
b0 b0001021
b0 b0001100
b0 b0001101
b0 b0001110
b0 b0001111
b0 b0001200
b0 b0001201
b0 b0010000
b0 b0010010
b0 b0010100
b0 b0010101
b0 b0010102
b0 b0010110
b0 b0010111
b0 b0100000
b0 b0100001
b0 b0100002
b0 b0100010
b0 b0100011
b0 b0100020
b0 b0100021
b0 b0200000
b0 b0200001
b0 b0200100
b0 b0200101
b0 b0200102
b0 b0201000
b0 b0201010
b0 b0201020
b0 b0201021
b0 b0202000
b0 b0202010
b1 a00
b1 a01
b1 b00
b1 b01
b1 b02
b1 b10
b1 b11
b1 a000
b1 a001
b1 a010
b1 b000
b1 b001
b1 b010
b1 b020
b1 b021
b1 b100
b1 b101
b1 b110
b1 a0000
b1 a0001
b1 a0010
b1 a0011
b1 a0100
b1 a0101
b1 a0102
b1 b0000
b1 b0001
b1 b0010
b1 b0100
b1 b0200
b1 b0201
b1 b0202
b1 b0210
b1 b0211
b1 b0212
b1 b1000
b1 b1001
b1 b1010
b1 b1100
b1 b1101
b1 a00000
b1 a00010
b1 a00011
b1 a00100
b1 a00101
b1 a00102
b1 a00110
b1 a01000
b1 a01001
b1 a01010
b1 a01011
b1 a01020
b1 a01021
b1 a01022
b1 b00000
b1 b00001
b1 b00002
b1 b00010
b1 b00011
b1 b00012
b1 b00100
b1 b00101
b1 b01000
b1 b02000
b1 b02001
b1 b02010
b1 b02020
b1 b02021
b1 b02100
b1 b02101
b1 b02102
b1 b02110
b1 b02111
b1 b02120
b1 b02121
b1 b02122
b1 b10000
b1 b10001
b1 b10010
b1 b10011
b1 b10012
b1 b10100
b1 b11000
b1 b11001
b1 b11002
b1 b11010
b1 b11011
b1 a000000
b1 a000100
b1 a000110
b1 a000111
b1 a001000
b1 a001010
b1 a001011
b1 a001012
b1 a001020
b1 a001021
b1 a001100
b1 a001101
b1 a001102
b1 a010000
b1 a010010
b1 a010011
b1 a010012
b1 a010100
b1 a010101
b1 a010102
b1 a010110
b1 a010111
b1 a010200
b1 a010201
b1 a010202
b1 a010210
b1 a010220
b1 b000000
b1 b000010
b1 b000020
b1 b000021
b1 b000022
b1 b000100
b1 b000101
b1 b000102
b1 b000110
b1 b000111
b1 b000120
b1 b001000
b1 b001001
b1 b001010
b1 b001011
b1 b010000
b1 b010001
b1 b010002
b1 b020000
b1 b020010
b1 b020100
b1 b020101
b1 b020102
b1 b020200
b1 b020201
b1 b020202
b1 b020210
b1 b020211
b1 b020212
b1 b021000
b1 b021001
b1 b021002
b1 b021010
b1 b021011
b1 b021020
b1 b021100
b1 b021101
b1 b021102
b1 b021110
b1 b021111
b1 b021112
b1 b021200
b1 b021201
b1 b021202
b1 b021210
b1 b021220
b1 b021221
b1 b021222
b1 b100000
b1 b100010
b1 b100100
b1 b100101
b1 b100102
b1 b100110
b1 b100111
b1 b100112
b1 b100120
b1 b100121
b1 b100122
b1 b101000
b1 b101001
b1 b110000
b1 b110001
b1 b110010
b1 b110020
b1 b110021
b1 b110022
b1 b110100
b1 b110101
b1 b110102
b1 b110110
b1 a0000000
b1 a0000001
b1 a0000002
b1 a0001000
b1 a0001001
b1 a0001002
b1 a0001100
b1 a0001101
b1 a0001102
b1 a0001110
b1 a0010000
b1 a0010001
b1 a0010100
b1 a0010101
b1 a0010110
b1 a0010111
b1 a0010112
b1 a0010120
b1 a0010121
b1 a0010122
b1 a0010200
b1 a0010201
b1 a0010202
b1 a0010210
b1 a0010211
b1 a0011000
b1 a0011001
b1 a0011010
b1 a0011011
b1 a0011020
b1 a0011021
b1 a0100000
b1 a0100001
b1 a0100002
b1 a0100100
b1 a0100101
b1 a0100102
b1 a0100110
b1 a0100111
b1 a0100120
b1 a0100121
b1 a0101000
b1 a0101001
b1 a0101010
b1 a0101011
b1 a0101012
b1 a0101020
b1 a0101100
b1 a0101101
b1 a0101102
b1 a0101110
b1 a0101111
b1 a0101112
b1 a0102000
b1 a0102010
b1 a0102011
b1 a0102012
b1 a0102020
b1 a0102021
b1 a0102022
b1 a0102100
b1 a0102101
b1 a0102102
b1 a0102200
b1 a0102201
b1 b0000000
b1 b0000001
b1 b0000002
b1 b0000100
b1 b0000101
b1 b0000102
b1 b0000200
b1 b0000210
b1 b0000220
b1 b0000221
b1 b0001000
b1 b0001010
b1 b0001020
b1 b0001021
b1 b0001100
b1 b0001101
b1 b0001110
b1 b0001111
b1 b0001200
b1 b0001201
b1 b0010000
b1 b0010010
b1 b0010100
b1 b0010101
b1 b0010102
b1 b0010110
b1 b0010111
b1 b0100000
b1 b0100001
b1 b0100002
b1 b0100010
b1 b0100011
b1 b0100020
b1 b0100021
b1 b0200000
b1 b0200001
b1 b0200100
b1 b0200101
b1 b0200102
b1 b0201000
b1 b0201010
b1 b0201020
b1 b0201021
b1 b0202000
b1 b0202010
a00 a01
a00 b00
a00 b01
a00 b02
a00 b10
a00 b11
a00 a000
a00 a001
a00 a010
a00 b000
a00 b001
a00 b010
a00 b020
a00 b021
a00 b100
a00 b101
a00 b110
a00 a0000
a00 a0001
a00 a0010
a00 a0011
a00 a0100
a00 a0101
a00 a0102
a00 b0000
a00 b0001
a00 b0010
a00 b0100
a00 b0200
a00 b0201
a00 b0202
a00 b0210
a00 b0211
a00 b0212
a00 b1000
a00 b1001
a00 b1010
a00 b1100
a00 b1101
a00 a00000
a00 a00010
a00 a00011
a00 a00100
a00 a00101
a00 a00102
a00 a00110
a00 a01000
a00 a01001
a00 a01010
a00 a01011
a00 a01020
a00 a01021
a00 a01022
a00 b00000
a00 b00001
a00 b00002
a00 b00010
a00 b00011
a00 b00012
a00 b00100
a00 b00101
a00 b01000
a00 b02000
a00 b02001
a00 b02010
a00 b02020
a00 b02021
a00 b02100
a00 b02101
a00 b02102
a00 b02110
a00 b02111
a00 b02120
a00 b02121
a00 b02122
a00 b10000
a00 b10001
a00 b10010
a00 b10011
a00 b10012
a00 b10100
a00 b11000
a00 b11001
a00 b11002
a00 b11010
a00 b11011
a00 a000000
a00 a000100
a00 a000110
a00 a000111
a00 a001000
a00 a001010
a00 a001011
a00 a001012
a00 a001020
a00 a001021
a00 a001100
a00 a001101
a00 a001102
a00 a010000
a00 a010010
a00 a010011
a00 a010012
a00 a010100
a00 a010101
a00 a010102
a00 a010110
a00 a010111
a00 a010200
a00 a010201
a00 a010202
a00 a010210
a00 a010220
a00 b000000
a00 b000010
a00 b000020
a00 b000021
a00 b000022
a00 b000100
a00 b000101
a00 b000102
a00 b000110
a00 b000111
a00 b000120
a00 b001000
a00 b001001
a00 b001010
a00 b001011
a00 b010000
a00 b010001
a00 b010002
a00 b020000
a00 b020010
a00 b020100
a00 b020101
a00 b020102
a00 b020200
a00 b020201
a00 b020202
a00 b020210
a00 b020211
a00 b020212
a00 b021000
a00 b021001
a00 b021002
a00 b021010
a00 b021011
a00 b021020
a00 b021100
a00 b021101
a00 b021102
a00 b021110
a00 b021111
a00 b021112
a00 b021200
a00 b021201
a00 b021202
a00 b021210
a00 b021220
a00 b021221
a00 b021222
a00 b100000
a00 b100010
a00 b100100
a00 b100101
a00 b100102
a00 b100110
a00 b100111
a00 b100112
a00 b100120
a00 b100121
a00 b100122
a00 b101000
a00 b101001
a00 b110000
a00 b110001
a00 b110010
a00 b110020
a00 b110021
a00 b110022
a00 b110100
a00 b110101
a00 b110102
a00 b110110
a00 a0000000
a00 a0000001
a00 a0000002
a00 a0001000
a00 a0001001
a00 a0001002
a00 a0001100
a00 a0001101
a00 a0001102
a00 a0001110
a00 a0010000
a00 a0010001
a00 a0010100
a00 a0010101
a00 a0010110
a00 a0010111
a00 a0010112
a00 a0010120
a00 a0010121
a00 a0010122
a00 a0010200
a00 a0010201
a00 a0010202
a00 a0010210
a00 a0010211
a00 a0011000
a00 a0011001
a00 a0011010
a00 a0011011
a00 a0011020
a00 a0011021
a00 a0100000
a00 a0100001
a00 a0100002
a00 a0100100
a00 a0100101
a00 a0100102
a00 a0100110
a00 a0100111
a00 a0100120
a00 a0100121
a00 a0101000
a00 a0101001
a00 a0101010
a00 a0101011
a00 a0101012
a00 a0101020
a00 a0101100
a00 a0101101
a00 a0101102
a00 a0101110
a00 a0101111
a00 a0101112
a00 a0102000
a00 a0102010
a00 a0102011
a00 a0102012
a00 a0102020
a00 a0102021
a00 a0102022
a00 a0102100
a00 a0102101
a00 a0102102
a00 a0102200
a00 a0102201
a00 b0000000
a00 b0000001
a00 b0000002
a00 b0000100
a00 b0000101
a00 b0000102
a00 b0000200
a00 b0000210
a00 b0000220
a00 b0000221
a00 b0001000
a00 b0001010
a00 b0001020
a00 b0001021
